Control Voltage,Power,Current,Speed,Airflow1,Airflow2,Air Pressure Pa,Air Pressure H2O,Efficiency
10,750,1.3,4685,0,0,1840,6.8287,0.00%
10,750,1.3,4217,437,257.41,1523,6.1188,24.67%
10,750,1.3,4003,834,490.81,1281,5.1458,39.56%
10,750,1.3,3698,1256,739.33,1092,4.3879,50.80%
10,750,1.3,3542,1624,956.01,939,3.7735,56.48%
10,750,1.3,3543,2332,1372.86,540,2.1695,46.64%
10,750,1.3,3567,2405,1415.6,514,2.0634,45.78%
10,750,1.3,3622,2707,1593.35,354,1.4235,35.49%
10,750,1.3,3783,3021,1778.6,174,0.7006,19.47%
10,750,1.3,3902,3368,1982.48,0,0,0.00%
9,669,1.13,4543,0,0,1700,6.8303,0.00%
9,669,1.13,4107,391,230.12,1415,5.6858,22.97%
9,669,1.13,3770,765,450.28,1190,4.7824,37.80%
9,669,1.13,3552,1183,696.38,1014,4.0742,49.81%
9,669,1.13,3395,1534,903.11,873,3.508,55.61%
9,669,1.13,3383,2206,1298.38,509,2.0433,46.62%
9,669,1.13,3448,2259,1329.59,481,1.9342,45.11%
9,669,1.13,3565,2561,1507.33,322,1.2947,34.24%
9,669,1.13,3642,2927,1723.16,147,0.5906,17.87%
9,669,1.13,3768,3178,1870.54,0,0,0.00%
8,495,0.92,4125,0,0,1486,5.9717,0.00%
8,495,0.92,3545,479,281.85,1053,4.2298,28.29%
8,495,0.92,3410,645,379.4,967,3.8861,34.97%
8,495,0.92,3225,1011,595.02,826,3.3191,46.85%
8,495,0.92,3113,1318,775.94,717,2.8815,53.04%
8,495,0.92,3080,1912,1125.39,429,1.7252,46.02%
8,495,0.92,3110,1954,1150.15,404,1.622,44.30%
8,495,0.92,3170,2299,1353.5,248,0.9957,32.00%
8,495,0.92,3348,2644,1556.42,79,0.3163,11.72%
8,495,0.92,3398,2835,1668.89,0,0,0.00%
7,348,0.71,3692,0,0,1169,4.6979,0.00%
7,348,0.71,3105,420,247.04,822,3.3032,27.54%
7,348,0.71,3048,568,334.33,757,3.0431,34.32%
7,348,0.71,2820,885,520.85,648,2.6045,45.77%
7,348,0.71,2723,1146,674.58,569,2.2866,52.05%
7,348,0.71,2685,1655,974.42,353,1.4183,46.64%
7,348,0.71,2690,1710,1006.58,327,1.3147,44.63%
7,348,0.71,2767,1939,1141.69,241,0.9684,37.31%
7,348,0.71,2912,2270,1336.15,96,0.3869,17.39%
7,348,0.71,3008,2491,1466.6,0,0,0.00%
6,240,0.51,3223,0,0,900,3.6143,0.00%
6,240,0.51,2770,361,212.66,636,2.5532,26.59%
6,240,0.51,2663,492,289.68,586,2.3537,33.38%
6,240,0.51,2482,754,443.83,505,2.0274,44.07%
6,240,0.51,2457,972,572.38,445,1.7893,50.08%
6,240,0.51,2375,1405,827.04,287,1.1522,46.67%
6,240,0.51,2393,1475,868.51,262,1.0526,44.74%
6,240,0.51,2445,1712,1007.96,176,0.7087,34.88%
6,240,0.51,2607,2057,1211.09,40,0.1619,9.52%
6,240,0.51,2643,2177,1281.34,0,0,0.00%
5,156,0.42,2770,0,0,660,2.6514,0.00%
5,156,0.42,2363,307,180.81,468,1.8821,25.60%
5,156,0.42,2215,514,302.59,404,1.6226,36.98%
5,156,0.42,2182,632,372.1,373,1.4991,41.98%
5,156,0.42,2035,1139,670.67,224,0.9011,45.44%
5,156,0.42,2033,1236,727.38,200,0.8045,44.00%
5,156,0.42,2083,1354,797.31,164,0.6596,39.55%
5,156,0.42,2120,1494,879.41,119,0.4771,31.66%
5,156,0.42,2212,1679,988.28,58,0.2325,17.34%
5,156,0.42,2267,1862,1096.09,0,0,0.00%
4,102,0.31,2332,0,0,474,1.9045,0.00%
4,102,0.31,2030,211,124.42,338,1.3585,19.46%
4,102,0.31,1907,382,224.72,294,1.1794,30.56%
4,102,0.31,1718,908,534.29,172,0.6919,42.51%
4,102,0.31,1732,986,580.52,150,0.6011,40.29%
4,102,0.31,1750,1116,656.7,116,0.4647,35.24%
4,102,0.31,1827,1281,753.83,72,0.2883,25.11%
4,102,0.31,1922,1481,871.69,15,0.06,6.05%
4,102,0.31,1940,1517,893.06,0,0,0.00%
3,69,0.26,1973,0,0,338,1.3589,0.00%
3,69,0.26,1718,164,96.81,244,0.9806,16.15%
3,69,0.26,1600,304,179.01,213,0.8577,26.08%
3,69,0.26,1472,721,424.68,133,0.534,38.63%
3,69,0.26,1470,824,484.78,111,0.4473,36.80%
3,69,0.26,1512,957,563.49,80,0.3224,30.83%
3,69,0.26,1577,1148,675.96,37,0.1472,17.10%
3,69,0.26,1640,1295,762.08,0,0,0.00%
2,48,0.23,1710,0,0,252,1.0128,0.00%
2,48,0.23,1487,142,83.79,185,0.7436,15.24%
2,48,0.23,1405,256,150.98,163,0.6567,24.19%
2,48,0.23,1280,606,356.76,106,0.4251,37.18%
2,48,0.23,1295,710,418.23,86,0.3439,35.36%
2,48,0.23,1322,868,511.01,56,0.2268,28.13%
2,48,0.23,1415,1069,629.09,13,0.0531,8.04%
2,48,0.23,1417,1120,659.56,0,0,0.00%
1,36,0.2,1573,0,0,216,0.8688,0.00%
1,36,0.2,1380,115,67.92,160,0.6434,14.25%
1,36,0.2,1282,280,164.73,134,0.5382,28.93%
1,36,0.2,1187,540,318.14,94,0.3795,39.20%
1,36,0.2,1192,654,385.01,75,0.3002,37.85%
1,36,0.2,1228,818,481.6,46,0.1853,29.04%
1,36,0.2,1305,1011,594.91,3,0.0108,2.34%
1,36,0.2,1330,1027,604.54,0,0,0.00%
